Country,Trips Ending March 2019,Trips Ending March 2024,Spend Ending March 2019,Spend Ending March 2024
New Zealand,1262,1216,2578,3332
Japan,438,314,1969,1953
Hong Kong,272,189,1264,1228
Singapore,393,325,1511,1594
Malaysia,350,169,1304,890
Indonesia,187,190,801,1104
Taiwan,185,128,1034,900
Thailand,92,90,454,584
Vietnam,0,166,0,1094
Philippines,0,156,0,738
Korea,263,301,1491,1813
China,1329,681,11969,8583
India,343,390,1691,2342
Other Asia(c),397,200,1927,1430
United States of America,750,663,3982,4554
Canada,176,155,884,1051
United Kingdom,673,578,3349,4164
Germany,199,151,1158,1169
Scandinavia,106,79,670,574
France,137,114,852,914
Italy,75,62,500,459
Netherlands,57,50,356,424
Switzerland,54,40,401,381
Other Europe,257,249,1464,1742
Other Countries,540,524,2729,3778
